  
       XFOIL         Version 6.99
  
 Calculated polar for: CLARK-Y 11.7% smoothed                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0015   0.03027   0.02119  -0.0357   0.9675   1.0000
   0.250   0.0435   0.03139   0.02199  -0.0395   0.9524   1.0000
   0.500   0.0839   0.03243   0.02277  -0.0429   0.9369   1.0000
   0.750   0.1238   0.03340   0.02351  -0.0460   0.9208   1.0000
   1.000   0.1621   0.03431   0.02423  -0.0487   0.9045   1.0000
   1.250   0.1998   0.03515   0.02492  -0.0511   0.8880   1.0000
   1.500   0.2371   0.03593   0.02557  -0.0534   0.8713   1.0000
   1.750   0.2737   0.03665   0.02618  -0.0554   0.8546   1.0000
   2.000   0.3094   0.03733   0.02676  -0.0571   0.8381   1.0000
   2.250   0.3450   0.03795   0.02731  -0.0586   0.8215   1.0000
   2.500   0.3801   0.03851   0.02782  -0.0599   0.8049   1.0000
   2.750   0.4146   0.03903   0.02830  -0.0610   0.7885   1.0000
   3.000   0.4489   0.03948   0.02873  -0.0620   0.7722   1.0000
   3.250   0.4822   0.03991   0.02914  -0.0627   0.7560   1.0000
   3.500   0.5148   0.04029   0.02952  -0.0632   0.7400   1.0000
   3.750   0.5467   0.04064   0.02989  -0.0635   0.7240   1.0000
   4.000   0.5764   0.04104   0.03030  -0.0634   0.7084   1.0000
   4.250   0.6054   0.04143   0.03072  -0.0632   0.6929   1.0000
   4.500   0.6324   0.04189   0.03123  -0.0628   0.6777   1.0000
   4.750   0.6567   0.04250   0.03187  -0.0621   0.6629   1.0000
   5.000   0.6796   0.04322   0.03262  -0.0612   0.6485   1.0000
   5.000   0.6796   0.04322   0.03262  -0.0612   0.6485   1.0000
   5.100   0.7043   0.04261   0.03205  -0.0622   0.6450   1.0000
   5.200   0.7379   0.04156   0.03108  -0.0640   0.6426   1.0000
   5.500   0.7698   0.04210   0.03169  -0.0632   0.6268   1.0000
   5.750   0.7761   0.04373   0.03335  -0.0609   0.6123   1.0000
   6.000   0.7769   0.04589   0.03553  -0.0584   0.5983   1.0000
   6.250   0.7759   0.04841   0.03809  -0.0562   0.5848   1.0000
   6.500   0.8022   0.04906   0.03882  -0.0556   0.5749   1.0000
   6.750   0.8306   0.04952   0.03938  -0.0551   0.5648   1.0000
   7.000   0.8003   0.05475   0.04458  -0.0524   0.5515   1.0000
   7.250   0.7947   0.05817   0.04803  -0.0510   0.5409   1.0000
   7.500   0.8396   0.05731   0.04734  -0.0508   0.5325   1.0000
   7.750   0.7971   0.06404   0.05402  -0.0490   0.5211   1.0000
   8.000   0.8131   0.06582   0.05588  -0.0483   0.5120   1.0000
   8.250   0.8328   0.06709   0.05726  -0.0474   0.5013   1.0000
   8.500   0.9804   0.05429   0.04493  -0.0461   0.4828   1.0000
   8.750   0.8219   0.07396   0.06422  -0.0454   0.4779   1.0000
   9.000   1.1547   0.04354   0.03454  -0.0493   0.4332   1.0000
   9.250   1.1756   0.04353   0.03462  -0.0472   0.4130   1.0000
   9.500   1.2186   0.04200   0.03303  -0.0467   0.3855   1.0000
