  
       XFOIL         Version 6.99
  
 Calculated polar for: MH 23  8%                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0017   0.01827   0.00705  -0.0036   1.0000   1.0000
   0.250   0.0137   0.01843   0.00707  -0.0019   1.0000   1.0000
   0.500   0.0293   0.01862   0.00718  -0.0001   1.0000   1.0000
   0.750   0.0448   0.01884   0.00734   0.0015   1.0000   1.0000
   1.000   0.0604   0.01910   0.00755   0.0031   1.0000   1.0000
   1.250   0.0760   0.01939   0.00782   0.0046   1.0000   1.0000
   1.500   0.0914   0.01973   0.00814   0.0060   1.0000   1.0000
   1.750   0.1067   0.02011   0.00852   0.0073   1.0000   1.0000
   2.000   0.1218   0.02054   0.00897   0.0086   1.0000   1.0000
   2.250   0.1366   0.02104   0.00949   0.0097   1.0000   1.0000
   2.500   0.1510   0.02160   0.01009   0.0108   1.0000   1.0000
   2.750   0.1649   0.02223   0.01079   0.0117   1.0000   1.0000
   3.000   0.1783   0.02295   0.01158   0.0125   1.0000   1.0000
   3.250   0.1910   0.02378   0.01252   0.0131   1.0000   1.0000
   3.500   0.2696   0.02575   0.01480   0.0010   0.9707   1.0000
   3.750   0.3471   0.02705   0.01650  -0.0097   0.9337   1.0000
   4.000   0.4236   0.02755   0.01756  -0.0188   0.8938   1.0000
   4.250   0.5137   0.02677   0.01746  -0.0281   0.8496   1.0000
   4.500   0.6004   0.02433   0.01586  -0.0338   0.7965   1.0000
   4.750   0.6635   0.02160   0.01367  -0.0336   0.7257   1.0000
   5.000   0.7005   0.02055   0.01246  -0.0299   0.6190   1.0000
   5.250   0.7156   0.02131   0.01264  -0.0249   0.5041   1.0000
   5.500   0.7263   0.02278   0.01350  -0.0205   0.3971   1.0000
   5.750   0.7379   0.02462   0.01468  -0.0169   0.3037   1.0000
   6.000   0.7542   0.02679   0.01640  -0.0143   0.2302   1.0000
   6.250   0.7742   0.02916   0.01850  -0.0123   0.1805   1.0000
   6.500   0.7944   0.03146   0.02072  -0.0105   0.1477   1.0000
   6.750   0.8177   0.03438   0.02375  -0.0092   0.1292   1.0000
   7.000   0.8395   0.03765   0.02723  -0.0076   0.1173   1.0000
   7.250   0.8558   0.04042   0.03017  -0.0058   0.1048   1.0000
   7.500   0.8665   0.04391   0.03448  -0.0026   0.1015   1.0000
   7.750   0.8749   0.04792   0.03908   0.0003   0.1003   1.0000
   8.000   0.8790   0.05224   0.04393   0.0032   0.1006   1.0000
   8.250   0.8799   0.05671   0.04882   0.0059   0.1017   1.0000
