  
       XFOIL         Version 6.99
  
 Calculated polar for: Falcon                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2519   0.02644   0.01675  -0.0532   0.9003   1.0000
   0.250   0.3111   0.02612   0.01636  -0.0590   0.8801   1.0000
   0.500   0.3426   0.02620   0.01639  -0.0600   0.8560   1.0000
   0.750   0.3787   0.02610   0.01624  -0.0614   0.8348   1.0000
   1.000   0.4117   0.02599   0.01607  -0.0618   0.8150   1.0000
   1.250   0.4344   0.02617   0.01620  -0.0607   0.7946   1.0000
   1.500   0.4546   0.02642   0.01641  -0.0592   0.7745   1.0000
   1.750   0.4756   0.02666   0.01660  -0.0578   0.7558   1.0000
   2.000   0.4963   0.02692   0.01683  -0.0561   0.7377   1.0000
   2.250   0.5163   0.02723   0.01710  -0.0544   0.7203   1.0000
   2.500   0.5358   0.02759   0.01741  -0.0526   0.7033   1.0000
   2.750   0.5548   0.02800   0.01779  -0.0507   0.6866   1.0000
   3.000   0.5735   0.02846   0.01823  -0.0488   0.6702   1.0000
   3.250   0.5919   0.02897   0.01871  -0.0469   0.6540   1.0000
   3.500   0.6100   0.02952   0.01925  -0.0450   0.6381   1.0000
   3.750   0.6282   0.03011   0.01983  -0.0430   0.6223   1.0000
   4.000   0.6464   0.03072   0.02044  -0.0411   0.6069   1.0000
   4.250   0.6650   0.03133   0.02104  -0.0392   0.5916   1.0000
   4.500   0.6842   0.03193   0.02163  -0.0374   0.5766   1.0000
   4.750   0.7045   0.03248   0.02217  -0.0356   0.5618   1.0000
   5.000   0.7272   0.03291   0.02257  -0.0340   0.5475   1.0000
   5.250   0.7462   0.03357   0.02324  -0.0322   0.5326   1.0000
   5.500   0.7616   0.03452   0.02424  -0.0302   0.5175   1.0000
   5.750   0.7757   0.03562   0.02543  -0.0282   0.5028   1.0000
   6.000   0.7902   0.03671   0.02658  -0.0261   0.4883   1.0000
   6.250   0.8054   0.03783   0.02775  -0.0242   0.4747   1.0000
   6.500   0.8245   0.03868   0.02864  -0.0225   0.4616   1.0000
   6.750   0.8523   0.03893   0.02885  -0.0214   0.4492   1.0000
   7.000   0.8588   0.04077   0.03085  -0.0190   0.4362   1.0000
   7.250   0.8616   0.04303   0.03325  -0.0165   0.4242   1.0000
   7.500   0.8792   0.04419   0.03447  -0.0150   0.4132   1.0000
   7.750   0.9004   0.04509   0.03543  -0.0136   0.4026   1.0000
   8.000   0.8780   0.04968   0.04023  -0.0103   0.3935   1.0000
   8.250   0.9197   0.04911   0.03964  -0.0100   0.3842   1.0000
   8.500   0.8331   0.05943   0.05014  -0.0055   0.3780   1.0000
   8.750   0.7248   0.07405   0.06454  -0.0068   0.3754   1.0000
   9.000   0.7626   0.07333   0.06394  -0.0047   0.3670   1.0000
   9.250   0.7085   0.08374   0.07423  -0.0079   0.3665   1.0000
   9.500   0.6917   0.09008   0.08056  -0.0096   0.3672   1.0000
   9.750   0.6865   0.09536   0.08586  -0.0109   0.3682   1.0000
   9.750   0.6865   0.09536   0.08586  -0.0109   0.3682   1.0000
   9.850   0.6867   0.09730   0.08782  -0.0114   0.3685   1.0000
  10.500   0.5687   0.12052   0.11092  -0.0244   0.4707   1.0000
  10.750   0.6027   0.12584   0.11637  -0.0259   0.4661   1.0000
  11.000   0.5774   0.12646   0.11693  -0.0248   0.4568   1.0000
  11.000   0.5774   0.12646   0.11693  -0.0248   0.4568   1.0000
  11.100   0.5858   0.12789   0.11842  -0.0250   0.4535   1.0000
  11.200   0.6015   0.13007   0.12066  -0.0255   0.4509   1.0000
  11.500   0.5918   0.13238   0.12297  -0.0251   0.4399   1.0000
  11.500   0.5918   0.13238   0.12297  -0.0251   0.4399   1.0000
  11.600   0.6024   0.13399   0.12462  -0.0254   0.4364   1.0000
  11.700   0.6201   0.13658   0.12728  -0.0260   0.4341   1.0000
