  
       XFOIL         Version 6.99
  
 Calculated polar for: FX 73-170 A                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -0.250  -0.2725   0.05724   0.04610  -0.0320   0.9733   0.1279
  -0.150  -0.2612   0.05695   0.04589  -0.0322   0.9715   0.1314
  -0.050  -0.2490   0.05703   0.04596  -0.0325   0.9698   0.1354
   0.250  -0.2109   0.05800   0.04680  -0.0333   0.9663   0.1508
   0.500  -0.1893   0.05762   0.04637  -0.0327   0.9600   0.1666
   0.750  -0.1597   0.05780   0.04681  -0.0334   0.9559   0.2202
   1.000  -0.1091   0.05672   0.04834  -0.0357   0.9545   1.0000
   1.250  -0.0888   0.05760   0.04877  -0.0358   0.9476   1.0000
   1.500  -0.0601   0.05934   0.05008  -0.0374   0.9403   1.0000
   1.750  -0.0408   0.06033   0.05075  -0.0375   0.9335   1.0000
   2.000  -0.0142   0.06195   0.05205  -0.0388   0.9259   1.0000
   2.250   0.0062   0.06326   0.05311  -0.0391   0.9201   1.0000
   2.500   0.0300   0.06458   0.05419  -0.0400   0.9114   1.0000
   2.750   0.0538   0.06648   0.05587  -0.0410   0.9065   1.0000
   3.000   0.0718   0.06721   0.05644  -0.0410   0.8972   1.0000
   3.250   0.1057   0.07045   0.05943  -0.0437   0.8931   1.0000
   3.500   0.1127   0.06996   0.05885  -0.0419   0.8829   1.0000
   3.750   0.1454   0.07299   0.06170  -0.0444   0.8783   1.0000
   4.000   0.1522   0.07280   0.06143  -0.0426   0.8688   1.0000
   4.250   0.1832   0.07558   0.06405  -0.0449   0.8636   1.0000
   4.500   0.1905   0.07579   0.06420  -0.0433   0.8554   1.0000
   4.750   0.2194   0.07826   0.06656  -0.0452   0.8490   1.0000
   5.000   0.2292   0.07901   0.06726  -0.0442   0.8419   1.0000
   5.250   0.2542   0.08111   0.06927  -0.0455   0.8346   1.0000
   5.500   0.2688   0.08261   0.07073  -0.0454   0.8287   1.0000
   5.750   0.2879   0.08412   0.07219  -0.0459   0.8202   1.0000
   6.000   0.3174   0.08749   0.07549  -0.0480   0.8161   1.0000
   6.250   0.3214   0.08735   0.07537  -0.0463   0.8057   1.0000
   6.500   0.3550   0.09118   0.07915  -0.0491   0.8013   1.0000
   6.750   0.3537   0.09075   0.07874  -0.0468   0.7916   1.0000
   7.000   0.3857   0.09430   0.08228  -0.0493   0.7862   1.0000
   7.250   0.3859   0.09437   0.08237  -0.0474   0.7770   1.0000
   7.500   0.4162   0.09771   0.08572  -0.0496   0.7711   1.0000
   7.750   0.4172   0.09815   0.08620  -0.0480   0.7627   1.0000
   8.000   0.4455   0.10129   0.08935  -0.0500   0.7560   1.0000
   8.250   0.4478   0.10211   0.09022  -0.0488   0.7477   1.0000
   8.500   0.4753   0.10523   0.09338  -0.0507   0.7407   1.0000
   8.750   0.4775   0.10613   0.09433  -0.0495   0.7323   1.0000
   9.000   0.5053   0.10945   0.09772  -0.0515   0.7253   1.0000
   9.250   0.5059   0.11032   0.09865  -0.0503   0.7165   1.0000
   9.500   0.5362   0.11407   0.10247  -0.0526   0.7097   1.0000
   9.750   0.5340   0.11466   0.10313  -0.0513   0.7002   1.0000
  10.000   0.5686   0.11928   0.10785  -0.0541   0.6940   1.0000
  10.250   0.5632   0.11930   0.10795  -0.0525   0.6832   1.0000
  10.500   0.5768   0.12196   0.11071  -0.0532   0.6763   1.0000
  10.750   0.5952   0.12443   0.11330  -0.0541   0.6663   1.0000
  11.000   0.5978   0.12609   0.11504  -0.0538   0.6575   1.0000
  11.250   0.6317   0.13067   0.11974  -0.0563   0.6496   1.0000
  11.500   0.6262   0.13103   0.12020  -0.0552   0.6386   1.0000
  11.750   0.6358   0.13363   0.12290  -0.0558   0.6310   1.0000
  12.250   0.6599   0.13837   0.12786  -0.0570   0.6098   1.0000
  12.000   0.6644   0.13748   0.12689  -0.0577   0.6204   1.0000
  12.100   0.6557   0.13748   0.12690  -0.0570   0.6178   1.0000
  12.200   0.6552   0.13779   0.12725  -0.0568   0.6122   1.0000
  12.500   0.6700   0.14107   0.13067  -0.0577   0.6012   1.0000
  12.750   0.6980   0.14509   0.13489  -0.0596   0.5906   1.0000
  13.000   0.6989   0.14632   0.13622  -0.0595   0.5785   1.0000
  13.250   0.7025   0.14854   0.13855  -0.0599   0.5684   1.0000
  13.500   0.7163   0.15158   0.14171  -0.0609   0.5585   1.0000
  13.750   0.7353   0.15479   0.14510  -0.0621   0.5461   1.0000
  14.000   0.7516   0.15758   0.14803  -0.0629   0.5322   1.0000
  14.250   0.7648   0.16004   0.15064  -0.0636   0.5179   1.0000
  14.500   0.7962   0.15661   0.14740  -0.0615   0.4627   1.0000
  14.750   0.8270   0.15483   0.14581  -0.0599   0.4240   1.0000
  15.000   0.8649   0.15409   0.14531  -0.0590   0.3994   1.0000
  15.250   0.8716   0.15586   0.14724  -0.0591   0.3815   1.0000
  15.500   0.8863   0.15712   0.14867  -0.0590   0.3629   1.0000
  15.750   0.9288   0.15473   0.14658  -0.0570   0.3394   1.0000
  16.000   0.9316   0.15682   0.14880  -0.0571   0.3205   1.0000
  16.250   0.9771   0.15120   0.14356  -0.0534   0.2939   1.0000
  16.500   0.9803   0.15332   0.14580  -0.0533   0.2741   1.0000
  16.750   1.2707   0.09594   0.08798  -0.0281   0.1616   1.0000
  17.000   1.2791   0.09833   0.09038  -0.0272   0.1456   1.0000
  17.250   1.2923   0.10053   0.09261  -0.0264   0.1327   1.0000
  17.500   1.3036   0.10298   0.09507  -0.0257   0.1215   1.0000
  17.750   1.2937   0.10784   0.10026  -0.0258   0.1173   1.0000
  18.000   1.3062   0.11061   0.10308  -0.0253   0.1094   1.0000
  18.250   1.2819   0.11707   0.10986  -0.0264   0.1083   1.0000
  18.500   1.2548   0.12429   0.11739  -0.0282   0.1079   1.0000
  18.750   1.2270   0.13219   0.12555  -0.0308   0.1085   1.0000
  19.000   1.1955   0.14144   0.13499  -0.0345   0.1095   1.0000
  19.250   1.1666   0.15110   0.14478  -0.0389   0.1106   1.0000
  19.750   0.6660   0.19958   0.19345  -0.0650   0.2642   1.0000
  20.000   0.6775   0.20328   0.19725  -0.0656   0.2528   1.0000
  19.750   0.6660   0.19958   0.19346  -0.0650   0.2642   1.0000
  19.850   0.6637   0.20024   0.19413  -0.0657   0.2601   1.0000
  19.950   0.6685   0.20156   0.19549  -0.0659   0.2554   1.0000
  -0.250  -0.2725   0.05724   0.04610  -0.0320   0.9733   0.1279
  -0.500  -0.2976   0.05750   0.04679  -0.0323   0.9787   0.1225
  -0.750  -0.3294   0.05747   0.04714  -0.0317   0.9826   0.1217
  -0.500  -0.2976   0.05750   0.04679  -0.0323   0.9787   0.1225
  -0.600  -0.3102   0.05730   0.04670  -0.0320   0.9800   0.1225
  -0.700  -0.3231   0.05738   0.04696  -0.0318   0.9816   0.1218
