  
       XFOIL         Version 6.99
  
 Calculated polar for: Smoothed ATR airfoil coordinates obtained  using
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.4471   0.02418   0.01435  -0.0649   0.6206   1.0000
   0.250   0.4652   0.02447   0.01445  -0.0634   0.6037   1.0000
   0.500   0.4836   0.02482   0.01462  -0.0620   0.5889   1.0000
   0.750   0.5001   0.02536   0.01508  -0.0606   0.5748   1.0000
   1.000   0.5173   0.02594   0.01555  -0.0592   0.5628   1.0000
   1.250   0.5372   0.02636   0.01577  -0.0578   0.5525   1.0000
   1.500   0.5515   0.02716   0.01660  -0.0563   0.5413   1.0000
   1.750   0.5708   0.02772   0.01700  -0.0549   0.5326   1.0000
   2.000   0.5846   0.02866   0.01797  -0.0533   0.5233   1.0000
   2.250   0.6055   0.02923   0.01835  -0.0520   0.5163   1.0000
   2.500   0.6150   0.03048   0.01974  -0.0501   0.5077   1.0000
   2.750   0.6346   0.03114   0.02027  -0.0487   0.5008   1.0000
   3.000   0.6443   0.03249   0.02169  -0.0467   0.4938   1.0000
   3.250   0.6561   0.03372   0.02295  -0.0449   0.4874   1.0000
   3.500   0.6781   0.03443   0.02353  -0.0437   0.4822   1.0000
   3.750   0.6768   0.03658   0.02586  -0.0409   0.4763   1.0000
   4.000   0.6821   0.03830   0.02764  -0.0386   0.4705   1.0000
   4.250   0.7062   0.03894   0.02815  -0.0376   0.4653   1.0000
   4.500   0.6966   0.04181   0.03118  -0.0344   0.4610   1.0000
   4.750   0.6705   0.04583   0.03536  -0.0305   0.4575   1.0000
   5.000   0.6330   0.05078   0.04038  -0.0266   0.4549   1.0000
   5.250   0.5366   0.06026   0.04989  -0.0222   0.4575   1.0000
   5.500   0.5029   0.06592   0.05551  -0.0216   0.4592   1.0000
   5.750   0.4974   0.06988   0.05944  -0.0216   0.4619   1.0000
   6.000   0.5088   0.07301   0.06255  -0.0220   0.4640   1.0000
   6.000   0.4669   0.07657   0.06613  -0.0233   0.4804   1.0000
   6.100   0.4778   0.07767   0.06724  -0.0236   0.4814   1.0000
   7.000   0.3626   0.09500   0.08464  -0.0282   0.5932   1.0000
   6.750   0.3764   0.09493   0.08459  -0.0307   0.6057   1.0000
   6.850   0.3529   0.09366   0.08331  -0.0282   0.5994   1.0000
   6.950   0.3579   0.09444   0.08408  -0.0281   0.5949   1.0000
   7.250   0.3953   0.09926   0.08887  -0.0299   0.5875   1.0000
   7.100   0.3756   0.09647   0.08610  -0.0288   0.5904   1.0000
   7.200   0.3937   0.09863   0.08825  -0.0299   0.5884   1.0000
   7.500   0.3894   0.09974   0.08933  -0.0280   0.5739   1.0000
   7.250   0.3953   0.09926   0.08887  -0.0299   0.5875   1.0000
   7.350   0.3751   0.09810   0.08770  -0.0277   0.5801   1.0000
   7.450   0.3831   0.09907   0.08866  -0.0278   0.5755   1.0000
   7.750   0.3956   0.10195   0.09152  -0.0276   0.5646   1.0000
   8.000   0.4175   0.10478   0.09434  -0.0280   0.5545   1.0000
   8.250   0.4163   0.10657   0.09610  -0.0272   0.5456   1.0000
   8.500   0.4393   0.10960   0.09912  -0.0278   0.5365   1.0000
   8.250   0.4163   0.10657   0.09610  -0.0272   0.5456   1.0000
   8.350   0.4211   0.10738   0.09691  -0.0272   0.5411   1.0000
   8.450   0.4323   0.10874   0.09827  -0.0275   0.5377   1.0000
   8.750   0.4371   0.11123   0.10075  -0.0270   0.5262   1.0000
   9.000   0.4677   0.11505   0.10457  -0.0279   0.5177   1.0000
   9.250   0.4591   0.11603   0.10554  -0.0269   0.5064   1.0000
   9.500   0.4892   0.12016   0.10968  -0.0279   0.5000   1.0000
