  
       XFOIL         Version 6.99
  
 Calculated polar for: MH 43  8.5%                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0076   0.01840   0.00828  -0.0130   1.0000   1.0000
   0.250   0.0095   0.01887   0.00861  -0.0126   1.0000   1.0000
   0.500   0.0267   0.01937   0.00896  -0.0122   1.0000   1.0000
   0.750   0.0640   0.02019   0.00967  -0.0158   0.9913   1.0000
   1.000   0.1135   0.02118   0.01057  -0.0215   0.9761   1.0000
   1.250   0.1615   0.02213   0.01147  -0.0266   0.9607   1.0000
   1.500   0.2093   0.02304   0.01236  -0.0316   0.9448   1.0000
   1.750   0.2585   0.02391   0.01326  -0.0366   0.9286   1.0000
   2.000   0.3005   0.02469   0.01409  -0.0401   0.9114   1.0000
   2.250   0.3414   0.02543   0.01492  -0.0432   0.8933   1.0000
   2.500   0.3895   0.02610   0.01571  -0.0472   0.8755   1.0000
   2.750   0.4335   0.02671   0.01646  -0.0503   0.8567   1.0000
   3.000   0.4707   0.02729   0.01724  -0.0518   0.8369   1.0000
   3.250   0.5160   0.02764   0.01777  -0.0540   0.8180   1.0000
   3.500   0.5426   0.02821   0.01849  -0.0534   0.7959   1.0000
   3.750   0.5777   0.02845   0.01891  -0.0532   0.7750   1.0000
   4.000   0.6075   0.02866   0.01937  -0.0521   0.7524   1.0000
   4.250   0.6335   0.02888   0.01976  -0.0503   0.7284   1.0000
   4.500   0.6613   0.02880   0.01988  -0.0480   0.7042   1.0000
   4.750   0.6890   0.02846   0.01973  -0.0452   0.6792   1.0000
   5.000   0.7138   0.02810   0.01961  -0.0420   0.6514   1.0000
   5.250   0.7375   0.02766   0.01934  -0.0386   0.6205   1.0000
   5.500   0.7628   0.02682   0.01861  -0.0347   0.5877   1.0000
   5.750   0.7858   0.02612   0.01801  -0.0309   0.5484   1.0000
   6.000   0.8089   0.02532   0.01717  -0.0269   0.5028   1.0000
   6.250   0.8286   0.02505   0.01679  -0.0233   0.4447   1.0000
   6.500   0.8461   0.02536   0.01685  -0.0198   0.3767   1.0000
   6.750   0.8614   0.02657   0.01761  -0.0170   0.3054   1.0000
   7.000   0.8763   0.02842   0.01896  -0.0146   0.2430   1.0000
   7.250   0.8931   0.03070   0.02098  -0.0128   0.1939   1.0000
   7.500   0.9133   0.03345   0.02359  -0.0113   0.1600   1.0000
   7.750   0.9321   0.03607   0.02619  -0.0100   0.1341   1.0000
   8.000   0.9531   0.03954   0.02994  -0.0087   0.1197   1.0000
   8.250   0.9715   0.04305   0.03368  -0.0075   0.1084   1.0000
   8.500   0.9888   0.04656   0.03724  -0.0066   0.0975   1.0000
   8.750   0.9964   0.05099   0.04246  -0.0049   0.0954   1.0000
   9.000   0.9997   0.05585   0.04793  -0.0035   0.0944   1.0000
   9.250   0.9977   0.06078   0.05335  -0.0025   0.0940   1.0000
   9.500   0.9897   0.06572   0.05868  -0.0017   0.0941   1.0000
   9.750   0.9774   0.07068   0.06393  -0.0014   0.0947   1.0000
  10.000   0.9634   0.07563   0.06906  -0.0014   0.0956   1.0000
  10.250   0.9477   0.08043   0.07396  -0.0016   0.0965   1.0000
  10.500   0.9339   0.08574   0.07932  -0.0028   0.0972   1.0000
  10.500   0.9339   0.08574   0.07931  -0.0028   0.0972   1.0000
  10.600   0.9309   0.08798   0.08157  -0.0033   0.0975   1.0000
  11.250   0.8227   0.11825   0.11172  -0.0295   0.1263   1.0000
